,ast,blka,block_above_3,block_in_paint,block_lcorner_3,block_mid_range,block_rcorner_3,block_res,dreb,fga,min,oreb,shot_above_3,shot_in_paint,shot_lcorner_3,shot_mid_range,shot_rcorner_3,shot_res,stl
1629122,5.1,1,0.0,0.0,0.0,0.0,0.0,0.9999900000999989,8.9,9,2461.455,2.1,0.3333329629633745,0.11111098765445816,0.11111098765445816,0.0,0.0,0.44444395061783265,2.5999999999999996
1628370,5.1,32,0.09374997070313415,0.21874993164064635,0.0624999804687561,0.0624999804687561,0.0,0.5624998242188048,8.9,580,2461.455,2.1,0.4362068890309157,0.0948275845719382,0.05862068864447089,0.12931034259809754,0.06379310234839479,0.21724137556480388,2.5999999999999996
2225,5.1,40,0.02499999375000156,0.09999997500000624,0.0,0.07499998125000468,0.0,0.7999998000000499,8.9,461,2461.455,2.1,0.088937091346267,0.19956615619162352,0.004338394699817903,0.3470715759854322,0.013015184099453708,0.3470715759854322,2.5999999999999996
202689,5.1,126,0.14285713151927526,0.1507936388259017,0.007936507306626404,0.04761904383975842,0.0,0.6507935991433651,8.9,1674,2461.455,2.1,0.40621266185058147,0.12664277104753421,0.011350059669354482,0.16188769317868762,0.013142174353989402,0.2807646339261372,2.5999999999999996
101107,5.1,21,0.09523804988664292,0.2380951247166073,0.0,0.0,0.04761902494332146,0.619047324263179,8.9,651,2461.455,2.1,0.39016896482075325,0.17357910639663432,0.13210445265584558,0.05222734174765988,0.06298002975453104,0.1889400892635931,2.5999999999999996
203469,5.1,42,0.0,0.4047618083900456,0.0,0.023809518140590916,0.0,0.571428435374182,8.9,345,2461.455,2.1,0.06376811409367786,0.2521739057340897,0.0,0.028985506406217207,0.0,0.6550724447805089,2.5999999999999996
1628389,5.1,31,0.0,0.35483859521335637,0.0,0.0,0.0,0.6451610822061026,8.9,484,2461.455,2.1,0.01859504093811899,0.23760330087596487,0.006198346979372996,0.09297520469059495,0.002066115659790999,0.6425619701950006,2.5999999999999996
201583,5.1,7,0.14285693877580175,0.0,0.0,0.2857138775516035,0.0,0.571427755103207,8.9,68,2461.455,2.1,0.47058816608997556,0.014705880190311736,0.04411764057093521,0.2058823226643643,0.058823520761246945,0.2058823226643643,2.5999999999999996
201609,5.1,25,0.0799999680000128,0.2799998880000448,0.0,0.0399999840000064,0.0,0.599999760000096,8.9,433,2461.455,2.1,0.30484987748614606,0.18013856396908628,0.032332562763682154,0.12933025105472862,0.04157043783901991,0.3117782837926494,2.5999999999999996
2617,5.1,1,0.0,0.0,0.0,0.0,0.0,0.9999900000999989,8.9,33,2461.455,2.1,0.30303021120296625,0.1212120844811865,0.0,0.30303021120296625,0.06060604224059325,0.2121211478420764,2.5999999999999996
201949,5.1,15,0.0,0.39999973333351113,0.0,0.06666662222225185,0.0,0.5333329777780148,8.9,376,2461.455,2.1,0.26861701413252626,0.17553191022521517,0.04255319035762792,0.07978723192055234,0.07446808312584886,0.35904254364248556,2.5999999999999996
1627884,5.1,26,0.03846152366864474,0.3461537130178027,0.0,0.03846152366864474,0.0,0.5769228550296711,8.9,321,2461.455,2.1,0.09034267631331228,0.10903426451606653,0.11526479391698462,0.018691588202754263,0.06853582341009896,0.5981308224881364,2.5999999999999996
1628999,5.1,0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,4,2461.455,2.1,0.24999937500156252,0.24999937500156252,0.0,0.0,0.0,0.49999875000312505,2.5999999999999996
203482,5.1,23,0.08695648393196351,0.08695648393196351,0.0,0.0,0.0,0.8260865973536533,8.9,563,2461.455,2.1,0.42984013446109887,0.07637655281746798,0.06749555830380892,0.07460035391473617,0.06749555830380892,0.2841918244370902,2.5999999999999996
1626196,5.1,63,0.06349205341395978,0.2539682136558391,0.03174602670697989,0.1111110934744296,0.03174602670697989,0.5079364273116782,8.9,1026,2461.455,2.1,0.36939570790062665,0.15302144100368967,0.04775828413490951,0.1949317719792225,0.029239765796883376,0.20565301943807973,2.5999999999999996
1629130,5.1,1,0.0,0.0,0.0,0.0,0.0,0.9999900000999989,8.9,46,2461.455,2.1,0.5869563941399143,0.0,0.06521737712665714,0.08695650283554286,0.10869562854442857,0.1521738799622,2.5999999999999996
2548,5.1,34,0.058823512110731724,0.2352940484429269,0.0,0.11764702422146345,0.0,0.5882351211073172,8.9,957,2461.455,2.1,0.19435736474025742,0.21003134576769755,0.060606059972768446,0.24033437575408176,0.0135841168904481,0.28108672642542604,2.5999999999999996
203079,5.1,22,0.0,0.1818180991735913,0.0,0.0,0.0,0.8181814462811607,8.9,477,2461.455,2.1,0.4234800749794534,0.039832284280245614,0.1153039808112373,0.09853249269323915,0.06498951645724285,0.2578616298142216,2.5999999999999996
202355,5.1,50,0.0,0.3799999240000152,0.0,0.019999996000000797,0.0,0.5999998800000239,8.9,680,2461.455,2.1,0.011764705709342564,0.2808823488105537,0.007352941068339103,0.08235293996539794,0.0044117646410034616,0.6132352850994811,2.5999999999999996
1626159,5.1,43,0.0,0.46511617090321605,0.0,0.0232558085451608,0.0,0.5116277879935376,8.9,748,2461.455,2.1,0.2179144355893792,0.23128341936786873,0.07352941078169237,0.13502673616274416,0.04946523998041123,0.2927807447489205,2.5999999999999996
201571,5.1,42,0.09523807256236366,0.30952373582768195,0.04761903628118183,0.09523807256236366,0.023809518140590916,0.4285713265306365,8.9,673,2461.455,2.1,0.37295690381936253,0.13670133526446754,0.05497771092157933,0.10549776960627386,0.02823179750027047,0.3016344680292055,2.5999999999999996
1628964,5.1,15,0.0,0.3333331111112593,0.0,0.1333332444445037,0.0,0.5333329777780148,8.9,242,2461.455,2.1,0.20661156171026604,0.12396693702615963,0.04958677481046385,0.21074379294447138,0.028925618639437246,0.3801652735468895,2.5999999999999996
203920,5.1,12,0.0,0.49999958333368055,0.0,0.0,0.0,0.49999958333368055,8.9,151,2461.455,2.1,0.006622516117714164,0.2980132252971374,0.0,0.03311258058857082,0.0,0.6622516117714164,2.5999999999999996
203487,5.1,8,0.0,0.4999993750007813,0.0,0.0,0.0,0.4999993750007813,8.9,123,2461.455,2.1,0.20325201599577106,0.2845528223940795,0.04065040319915421,0.024390241919492527,0.06504064511864674,0.3821137900720496,2.5999999999999996
1628505,5.1,0,0.0,0.0,,0.0,0.0,0.0,8.9,8,2461.455,2.1,0.37499953125058594,0.12499984375019532,,0.37499953125058594,0.0,0.12499984375019532,2.5999999999999996
203095,5.1,47,0.0,0.4042552331371844,0.021276591217746547,0.021276591217746547,0.0,0.5531913716614103,8.9,1067,2461.455,2.1,0.3420805966065549,0.15651358803642373,0.05998125529539592,0.1715089018602727,0.017806935165820666,0.252108713663461,2.5999999999999996
1628982,5.1,0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,21,2461.455,2.1,0.14285707482996438,0.2380951247166073,0.09523804988664292,0.14285707482996438,0.04761902494332146,0.3333331746032502,2.5999999999999996
1628365,5.1,17,0.058823494809708936,0.29411747404854466,0.0,0.0,0.0,0.6470584429067983,8.9,153,2461.455,2.1,0.03921568371139322,0.26143789140928814,0.026143789140928814,0.26797383869452035,0.013071894570464407,0.39215683711393223,2.5999999999999996
203932,5.1,52,0.057692296597635265,0.3076922485207214,0.038461531065090176,0.038461531065090176,0.0,0.5576922004438075,8.9,1042,2461.455,2.1,0.24088291515467453,0.13435700446874277,0.049904030231247315,0.1689059484749909,0.03838771556249793,0.3675623765109177,2.5999999999999996
1626170,5.1,8,0.12499984375019532,0.24999968750039064,0.12499984375019532,0.37499953125058594,0.0,0.12499984375019532,8.9,220,2461.455,2.1,0.4318181621900835,0.1181818128099176,0.054545452066115815,0.25454544297520715,0.013636363016528954,0.12727272148760357,2.5999999999999996
1628371,5.1,27,0.0,0.14814809327848397,0.0,0.11111106995886298,0.0,0.7407404663924199,8.9,610,2461.455,2.1,0.26393442190271443,0.06885245788766463,0.09999999836065576,0.16065573507121747,0.06885245788766463,0.3377049124966408,2.5999999999999996
1628411,5.1,25,0.0399999840000064,0.1599999360000256,0.0,0.0,0.0,0.799999680000128,8.9,273,2461.455,2.1,0.16849816232607465,0.12820512350896984,0.06593406351889877,0.20879120114317948,0.04761904587476023,0.3809523669980818,2.5999999999999996
1628518,5.1,1,0.0,0.0,0.0,0.0,0.0,0.9999900000999989,8.9,16,2461.455,2.1,0.0,0.24999984375009765,0.0,0.0,0.0,0.749999531250293,2.5999999999999996
1626185,5.1,6,0.16666638888935187,0.16666638888935187,0.16666638888935187,0.16666638888935187,0.0,0.33333277777870374,8.9,104,2461.455,2.1,0.26923074334319774,0.038461534763313966,0.13461537167159887,0.2211538248890553,0.14423075536242735,0.19230767381656982,2.5999999999999996
